Day,Origin,Destination,Mobility Index
1,Beijing,Tianjin,17585
1,Beijing,Shijiazhuang,21289
1,Beijing,Handan,27676
1,Beijing,Baoding,19007
1,Beijing,Zhangjiakou,20327
1,Beijing,Langfang,31180
1,Beijing,Ha'erbin,24390
1,Beijing,Shanghai,66799
1,Beijing,Nanjing,17719
1,Beijing,Hangzhou,28536
1,Beijing,Wenzhou,16767
1,Beijing,Xinyang,17522
1,Beijing,Wuhan,32517
1,Beijing,Changsha,35671
1,Beijing,Chongqing,66639
1,Beijing,Xi'an,17088
1,Tianjin,Beijing,13942
1,Tianjin,Tangshan,6631
1,Tianjin,Handan,5140
1,Tianjin,Baoding,6398
1,Tianjin,Cangzhou,7030
1,Tianjin,Langfang,7363
1,Tianjin,Changchun,4258
1,Tianjin,Ha'erbin,12675
1,Tianjin,Shanghai,8698
1,Tianjin,Hangzhou,4364
1,Tianjin,Fuzhou (Fujian),14632
1,Tianjin,Dezhou,6857
1,Tianjin,Wuhan,4669
1,Tianjin,Changsha,6579
1,Tianjin,Chongqing,10803
1,Shijiazhuang,Beijing,7566
1,Shijiazhuang,Tangshan,3301
1,Shijiazhuang,Handan,5395
1,Shijiazhuang,Xintai,10430
1,Shijiazhuang,Baoding,9499
1,Shijiazhuang,Cangzhou,2998
1,Shijiazhuang,Hengshui,4257
1,Shijiazhuang,Ha'erbin,4213
1,Shijiazhuang,Shanghai,3877
1,Shijiazhuang,Fuzhou (Fujian),3126
1,Shijiazhuang,Changsha,3165
1,Shijiazhuang,Guilin,4805
1,Shijiazhuang,Chongqing,4729
1,Shijiazhuang,Chengdu,6558
1,Shijiazhuang,Guiyang,3233
1,Tangshan,Beijing,4627
1,Tangshan,Tianjin,6222
1,Tangshan,Shijiazhuang,2666
1,Tangshan,Qinhuangdao,3642
1,Tangshan,Handan,1292
1,Tangshan,Xintai,1131
1,Tangshan,Baoding,1318
1,Tangshan,Chengde,1686
1,Tangshan,Cangzhou,1233
1,Tangshan,Shenyang,1610
1,Tangshan,Changchun,1535
1,Tangshan,Ha'erbin,4399
1,Tangshan,Suihua,1385
1,Tangshan,Shanghai,1590
1,Tangshan,Saming,1543
1,Tangshan,Changsha,1581
1,Tangshan,Chongqing,1725
1,Qinhuangdao,Beijing,2797
1,Qinhuangdao,Tianjin,1540
1,Qinhuangdao,Shijiazhuang,1361
1,Qinhuangdao,Tangshan,3600
1,Qinhuangdao,Shenyang,1386
1,Qinhuangdao,Huludao,1675
1,Qinhuangdao,Changchun,1706
1,Qinhuangdao,Jilin,1070
1,Qinhuangdao,Siping,786
1,Qinhuangdao,Ha'erbin,4662
1,Qinhuangdao,Qiqiha'er,724
1,Qinhuangdao,Jiamusi,831
1,Qinhuangdao,Suihua,954
1,Qinhuangdao,Wuhan,1366
1,Handan,Beijing,4901
1,Handan,Tianjin,1520
1,Handan,Shijiazhuang,4283
1,Handan,Xintai,5681
1,Handan,Baoding,1516
1,Handan,Ha'erbin,1171
1,Handan,Xiamen,1213
1,Handan,Liaocheng,1512
1,Handan,Anyang,2566
1,Handan,Puyang,1176
1,Handan,Guangzhou,2389
1,Handan,Chongqing,1154
1,Handan,Chengdu,1641
1,Xintai,Beijing,3330
1,Xintai,Tianjin,952
1,Xintai,Shijiazhuang,9157
1,Xintai,Handan,5746
1,Xintai,Baoding,1244
1,Xintai,Cangzhou,804
1,Xintai,Hengshui,1689
1,Xintai,Ha'erbin,1101
1,Xintai,Xiamen,683
1,Xintai,Liaocheng,1668
1,Xintai,Xinyang,776
1,Xintai,Wuhan,867
1,Xintai,Changsha,815
1,Xintai,Liuzhou (Guangxi),741
1,Xintai,Guilin,819
1,Xintai,Chongqing,845
1,Xintai,Chengdu,730
1,Xintai,Yulin,796
1,Baoding,Beijing,13921
1,Baoding,Tianjin,2378
1,Baoding,Shijiazhuang,9074
1,Baoding,Handan,2581
1,Baoding,Xintai,1882
1,Baoding,Cangzhou,3125
1,Baoding,Langfang,3276
1,Baoding,Hengshui,2144
1,Baoding,Fuzhou (Fujian),1299
1,Baoding,Wuhan,2599
1,Baoding,Changsha,1904
1,Baoding,Chongqing,2819
1,Baoding,Chengdu,2776
1,Baoding,Suining (Sichuan),2420
1,Baoding,Xi'an,2205
1,Zhangjiakou,Beijing,6750
1,Zhangjiakou,Tianjin,1024
1,Zhangjiakou,Shijiazhuang,1195
1,Zhangjiakou,Tangshan,746
1,Zhangjiakou,Baoding,1154
1,Zhangjiakou,Hengshui,981
1,Zhangjiakou,Datong,1586
1,Zhangjiakou,Huhehaote,649
1,Zhangjiakou,Baotou,686
1,Zhangjiakou,Eerduosi,903
1,Zhangjiakou,Wulanchabu,1143
1,Zhangjiakou,Ximeng,918
1,Zhangjiakou,Shanghai,2731
1,Zhangjiakou,Chongqing,765
1,Zhangjiakou,Chengdu,930
1,Chengde,Beijing,4337
1,Chengde,Tianjin,642
1,Chengde,Shijiazhuang,1146
1,Chengde,Tangshan,1482
1,Chengde,Qinhuangdao,400
1,Chengde,Baoding,548
1,Chengde,Zhangjiakou,430
1,Chengde,Langfang,565
1,Chengde,Chifeng,1138
1,Chengde,Tongliao,419
1,Chengde,Zhaoyang,605
1,Chengde,Shanghai,492
1,Chengde,Nanchang,656
1,Chengde,Wuhan,475
1,Chengde,Changsha,770
1,Cangzhou,Beijing,4025
1,Cangzhou,Tianjin,5359
1,Cangzhou,Shijiazhuang,3046
1,Cangzhou,Handan,1181
1,Cangzhou,Xintai,1008
1,Cangzhou,Baoding,3108
1,Cangzhou,Langfang,2658
1,Cangzhou,Hengshui,2982
1,Cangzhou,Changchun,1305
1,Cangzhou,Ha'erbin,3524
1,Cangzhou,Shanghai,1272
1,Cangzhou,Fuzhou (Fujian),1337
1,Cangzhou,Ganzhou,1353
1,Cangzhou,Dezhou,2335
1,Cangzhou,Chongqing,1210
1,Cangzhou,Chengdu,1346
1,Langfang,Beijing,28712
1,Langfang,Tianjin,7212
1,Langfang,Shijiazhuang,2494
1,Langfang,Tangshan,1541
1,Langfang,Handan,1774
1,Langfang,Xintai,1765
1,Langfang,Baoding,3820
1,Langfang,Cangzhou,2999
1,Langfang,Hengshui,1738
1,Langfang,Ha'erbin,3061
1,Langfang,Shanghai,1773
1,Langfang,Xinyang,1564
1,Langfang,Zhoukou,1499
1,Langfang,Wuhan,1762
1,Langfang,Changsha,1549
1,Langfang,Chongqing,2777
1,Hengshui,Beijing,2580
1,Hengshui,Tianjin,1120
1,Hengshui,Shijiazhuang,4204
1,Hengshui,Qinhuangdao,1411
1,Hengshui,Handan,869
1,Hengshui,Xintai,1930
1,Hengshui,Baoding,1602
1,Hengshui,Zhangjiakou,1166
1,Hengshui,Cangzhou,2797
1,Hengshui,Langfang,882
1,Hengshui,Ha'erbin,1050
1,Hengshui,Xiamen,1249
1,Hengshui,Ganzhou,1269
1,Hengshui,Ji'an,1286
1,Hengshui,Dezhou,2504
1,Hengshui,Heze,944
1,Hengshui,Xinyang,889
1,Hengshui,Zhoukou,1128
1,Taiyuan,Beijing,3313
1,Taiyuan,Datong,3847
1,Taiyuan,Changzhi,3489
1,Taiyuan,Jincheng,3496
1,Taiyuan,Shuozhou,3531
1,Taiyuan,Jinzhong,10213
1,Taiyuan,Yuncheng,3092
1,Taiyuan,Linyi,5988
1,Taiyuan,Linfen,4792
1,Taiyuan,Lvliang,8552
1,Taiyuan,Ha'erbin,3441
1,Taiyuan,Shanghai,4904
1,Taiyuan,Fuzhou (Fujian),3577
1,Taiyuan,Guilin,3268
1,Taiyuan,Chongqing,3159
1,Taiyuan,Chengdu,3598
1,Datong,Beijing,1344
1,Datong,Baoding,685
1,Datong,Zhangjiakou,1420
1,Datong,Taiyuan,2200
1,Datong,Shuozhou,3880
1,Datong,Jinzhong,384
1,Datong,Yuncheng,373
1,Datong,Linyi,944
1,Datong,Huhehaote,578
1,Datong,Eerduosi,640
1,Datong,Wulanchabu,1097
1,Datong,Ha'erbin,569
1,Datong,Shanghai,948
1,Datong,Wenzhou,525
1,Datong,Wuhan,512
1,Datong,Chongqing,482
1,Datong,Chengdu,575
1,Yangquan,Beijing,585
1,Yangquan,Shijiazhuang,964
1,Yangquan,Xintai,243
1,Yangquan,Baoding,259
1,Yangquan,Taiyuan,1483
1,Yangquan,Jinzhong,1630
1,Yangquan,Yuncheng,238
1,Yangquan,Linyi,544
1,Yangquan,Linfen,255
1,Yangquan,Lvliang,291
1,Yangquan,Ha'erbin,298
1,Yangquan,Shanghai,287
1,Yangquan,Fuzhou (Fujian),355
1,Yangquan,Quanzhou,302
1,Yangquan,Guilin,299
1,Yangquan,Chongqing,265
1,Yangquan,Chengdu,442
1,Yangquan,Yulin,344
1,Yangquan,Jiuquan,328
1,Changzhi,Beijing,582
1,Changzhi,Handan,767
1,Changzhi,Taiyuan,2626
1,Changzhi,Jincheng,1859
1,Changzhi,Jinzhong,1190
1,Changzhi,Yuncheng,390
1,Changzhi,Linfen,570
1,Changzhi,Lvliang,375
1,Changzhi,Shanghai,390
1,Changzhi,Fuzhou (Fujian),503
1,Changzhi,Xiamen,424
1,Changzhi,Quanzhou,418
1,Changzhi,Zhengzhou,393
1,Changzhi,Anyang,708
1,Changzhi,Guangzhou,695
1,Changzhi,Dongguan,413
1,Changzhi,Chengdu,539
1,Jincheng,Taiyuan,1130
1,Jincheng,Changzhi,1801
1,Jincheng,Jinzhong,272
1,Jincheng,Yuncheng,256
1,Jincheng,Linfen,473
1,Jincheng,Fuzhou (Fujian),314
1,Jincheng,Xiamen,299
1,Jincheng,Quanzhou,271
1,Jincheng,Zhengzhou,481
1,Jincheng,Anyang,296
1,Jincheng,Xinxiang,303
1,Jincheng,Jiaozuo,654
1,Jincheng,Zhoukou,315
1,Jincheng,Guangzhou,263
1,Jincheng,Shenzhen,313
1,Jincheng,Zhuhai,288
1,Jincheng,Dongguan,356
1,Jincheng,Kunming,301
1,Jincheng,Hongkong,304
1,Shuozhou,Beijing,378
1,Shuozhou,Baoding,205
1,Shuozhou,Zhangjiakou,292
1,Shuozhou,Taiyuan,1545
1,Shuozhou,Datong,5086
1,Shuozhou,Jinzhong,201
1,Shuozhou,Linyi,1600
1,Shuozhou,Lvliang,180
1,Shuozhou,Huhehaote,306
1,Shuozhou,Eerduosi,484
1,Shuozhou,Wulanchabu,196
1,Shuozhou,Ha'erbin,351
1,Shuozhou,Shanghai,193
1,Shuozhou,Wenzhou,264
1,Shuozhou,Nanchang,205
1,Shuozhou,Yantai,278
1,Shuozhou,Changsha,172
1,Shuozhou,Chongqing,265
1,Shuozhou,Chengdu,198
1,Shuozhou,Zigong,368
1,Jinzhong,Beijing,864
1,Jinzhong,Shijiazhuang,870
1,Jinzhong,Handan,747
1,Jinzhong,Taiyuan,10438
1,Jinzhong,Datong,919
1,Jinzhong,Yangquan,1810
1,Jinzhong,Changzhi,1366
1,Jinzhong,Yuncheng,1114
1,Jinzhong,Linyi,732
1,Jinzhong,Linfen,1838
1,Jinzhong,Lvliang,2770
1,Jinzhong,Ha'erbin,935
1,Jinzhong,Shanghai,561
1,Jinzhong,Fuzhou (Fujian),1069
1,Jinzhong,Guilin,639
1,Jinzhong,Chongqing,749
1,Jinzhong,Chengdu,531
1,Jinzhong,Xi'an,670
1,Yuncheng,Beijing,1467
1,Yuncheng,Taiyuan,1957
1,Yuncheng,Jinzhong,675
1,Yuncheng,Linfen,3887
1,Yuncheng,Shanghai,855
1,Yuncheng,Sanmenxia,1148
1,Yuncheng,Guangzhou,936
1,Yuncheng,Shenzhen,1382
1,Yuncheng,Nannig,780
1,Yuncheng,Kunming,954
1,Yuncheng,Xi'an,1186
1,Yuncheng,Weinan,965
1,Linyi,Beijing,496
1,Linyi,Shijiazhuang,1697
1,Linyi,Xintai,660
1,Linyi,Baoding,1248
1,Linyi,Cangzhou,634
1,Linyi,Taiyuan,5304
1,Linyi,Datong,923
1,Linyi,Yangquan,526
1,Linyi,Changzhi,409
1,Linyi,Shuozhou,1328
1,Linyi,Jinzhong,671
1,Linyi,Yuncheng,470
1,Linyi,Linfen,513
1,Linyi,Lvliang,456
1,Linyi,Eerduosi,833
1,Linyi,Ha'erbin,582
1,Linyi,Shanghai,501
1,Linyi,Wenzhou,868
1,Linyi,Chongqing,434
1,Linyi,Yulin,2139
1,Linfen,Beijing,1196
1,Linfen,Taiyuan,3341
1,Linfen,Changzhi,523
1,Linfen,Jincheng,472
1,Linfen,Jinzhong,1375
1,Linfen,Yuncheng,4023
1,Linfen,Lvliang,867
1,Linfen,Shanghai,486
1,Linfen,Fuzhou (Fujian),588
1,Linfen,Xiamen,598
1,Linfen,Guangzhou,908
1,Linfen,Chongqing,431
1,Linfen,Chengdu,534
1,Linfen,Kunming,632
1,Linfen,Xi'an,761
1,Lvliang,Beijing,766
1,Lvliang,Shijiazhuang,715
1,Lvliang,Handan,395
1,Lvliang,Xintai,404
1,Lvliang,Taiyuan,7646
1,Lvliang,Changzhi,482
1,Lvliang,Jinzhong,2712
1,Lvliang,Yuncheng,381
1,Lvliang,Linyi,498
1,Lvliang,Linfen,894
1,Lvliang,Shanghai,462
1,Lvliang,Fuzhou (Fujian),1002
1,Lvliang,Guilin,422
1,Lvliang,Chengdu,659
1,Lvliang,Yulin,2052
1,Lvliang,Jiuquan,505
1,Huhehaote,Beijing,2171
1,Huhehaote,Baotou,3985
1,Huhehaote,Chifeng,1596
1,Huhehaote,Tongliao,1631
1,Huhehaote,Eerduosi,3124
1,Huhehaote,Hulunbeier,3803
1,Huhehaote,Bayannaoer,2030
1,Huhehaote,Wulanchabu,5672
1,Huhehaote,Xing'anmeng,1598
1,Huhehaote,Ximeng,1989
1,Huhehaote,Ha'erbin,2732
1,Huhehaote,Shanghai,3283
1,Huhehaote,Hangzhou,2561
1,Huhehaote,Nanchang,1857
1,Huhehaote,Changsha,1982
1,Huhehaote,Chongqing,1655
1,Huhehaote,Chengdu,3211
1,Baotou,Beijing,1260
1,Baotou,Zhangjiakou,668
1,Baotou,Datong,531
1,Baotou,Huhehaote,3986
1,Baotou,Chifeng,638
1,Baotou,Eerduosi,2851
1,Baotou,Bayannaoer,2036
1,Baotou,Wulanchabu,2226
1,Baotou,Changchun,702
1,Baotou,Ha'erbin,669
1,Baotou,Shanghai,1566
1,Baotou,Nanjing,528
1,Baotou,Hangzhou,688
1,Baotou,Nanchang,693
1,Baotou,Changsha,701
1,Baotou,Chongqing,913
1,Baotou,Chengdu,686
1,Wuhai,Beijing,401
1,Wuhai,Huhehaote,573
1,Wuhai,Baotou,378
1,Wuhai,Chifeng,280
1,Wuhai,Eerduosi,2241
1,Wuhai,Bayannaoer,842
1,Wuhai,Wulanchabu,274
1,Wuhai,Alashanmeng,675
1,Wuhai,Nanjing,271
1,Wuhai,Changsha,267
1,Wuhai,Yulin,278
1,Wuhai,Yinchuan,467
1,Wuhai,Shizuishan,419
1,Chifeng,Beijing,1507
1,Chifeng,Tianjin,441
1,Chifeng,Chengde,1044
1,Chifeng,Huhehaote,1002
1,Chifeng,Tongliao,2096
1,Chifeng,Hulunbeier,423
1,Chifeng,Xing'anmeng,439
1,Chifeng,Ximeng,1118
1,Chifeng,Shenyang,453
1,Chifeng,Zhaoyang,1982
1,Chifeng,Changchun,344
1,Chifeng,Ha'erbin,430
1,Chifeng,Qiqiha'er,453
1,Chifeng,Shanghai,448
1,Chifeng,Hangzhou,652
1,Chifeng,Wuhan,447
1,Tongliao,Beijing,757
1,Tongliao,Huhehaote,1379
1,Tongliao,Chifeng,1964
1,Tongliao,Hulunbeier,531
1,Tongliao,Xing'anmeng,1054
1,Tongliao,Shenyang,1476
1,Tongliao,Fuxin,965
1,Tongliao,Siping,849
1,Tongliao,Qiqiha'er,602
1,Tongliao,Shanghai,670
1,Tongliao,Yinchuan,986
1,Eerduosi,Beijing,860
1,Eerduosi,Zhangjiakou,1082
1,Eerduosi,Linyi,1040
1,Eerduosi,Lvliang,519
1,Eerduosi,Huhehaote,3447
1,Eerduosi,Baotou,2973
1,Eerduosi,Wuhai,2293
1,Eerduosi,Chifeng,720
1,Eerduosi,Bayannaoer,1324
1,Eerduosi,Wulanchabu,1099
1,Eerduosi,Ha'erbin,1209
1,Eerduosi,Shanghai,1587
1,Eerduosi,Jining,1748
1,Eerduosi,Yulin,5058
1,Eerduosi,Yinchuan,992
1,Hulunbeier,Beijing,2209
1,Hulunbeier,Tianjin,1550
1,Hulunbeier,Shijiazhuang,478
1,Hulunbeier,Huhehaote,3784
1,Hulunbeier,Baotou,541
1,Hulunbeier,Chifeng,433
1,Hulunbeier,Tongliao,455
1,Hulunbeier,Xing'anmeng,481
1,Hulunbeier,Dalian,399
1,Hulunbeier,Ha'erbin,1193
1,Hulunbeier,Qiqiha'er,2243
1,Hulunbeier,Heihe,386
1,Hulunbeier,Daxing'anling,467
1,Hulunbeier,Jinan,434
1,Hulunbeier,Qingdao,1410
1,Bayannaoer,Beijing,846
1,Bayannaoer,Zhangjiakou,446
1,Bayannaoer,Huhehaote,1821
1,Bayannaoer,Baotou,2132
1,Bayannaoer,Wuhai,807
1,Bayannaoer,Chifeng,210
1,Bayannaoer,Tongliao,260
1,Bayannaoer,Eerduosi,1268
1,Bayannaoer,Hulunbeier,273
1,Bayannaoer,Wulanchabu,530
