City,Population
Beijing,21540000
Tianjin,11760000
Shijiazhuang,10151200
Tangshan,7843600
Qinhuangdao,3094600
Handan,9492800
Xintai,7319900
Baoding,10425300
Zhangjiakou,4425100
Chengde,3531800
Cangzhou,7505500
Langfang,4615000
Hengshui,4453100
Taiyuan,4421400
Datong,3456000
Yangquan,1414400
Changzhi,3468200
Jincheng,2343100
Shuozhou,1781200
Jinzhong,3.381600e+06
Yuncheng,5359600
Linyi,3171200
Linfen,4500300
Lvliang,3885600
Huhehaote,2437900
Baotou,2297400
Wuhai,434900
Chifeng,4518000
Tongliao,3083500
Eerduosi,2078400
Hulunbeier,2736500
Bayannaoer,1713800
Wulanchabu,2326300
Xing'anmeng,1.618900e+06
Ximeng,993400
Alashanmeng,199400
Shenyang,8294000
Dalian,6991000
Anshan,3598000
Fushun,2062000
Benxi,1697000
Dandong,2395000
Jinzhou,3056000
Yinkou,2438000
Fuxin,1762000
Liaoyang,1837000
Panjin,3056000
Tieling,2650000
Zhaoyang,1837000
Huludao,2542000
Changchun,7489000
Jilin,4153500
Siping,3204000
Liaoyuan,1179400
Tonghua,2171500
Baishan,1195000
Songyuan,2.754100e+06
Baicheng,1909000
Yanbian,2101400
Ha'erbin,10665000
Qiqiha'er,5367000
Jixi,1862200
Hegang,1058700
Shuangyashan,1462600
Daqing,2.933400e+06
Yichun,1148100
Jiamusi,2552100
Qitaihe,9.204000e+05
Mudanjiang,2783000
Heihe,1.673900e+06
Suihua,5416400
Daxing'anling,5.116000e+05
Shanghai,24240000
Nanjing,8436200
Wuxi,6574500
Xuzhou,8802000
Changzhou,4728600
Suzhou,10721700
Nantong,7310000
Lianyungang,4520000
Huai'an,4925000
Yancheng,7200000
Yangzhou,4531000
Zhenjiang,3196400
Taizhou,4635700
Suqian,4925900
Hangzhou,9806000
Ningbo,8202000
Wenzhou,9250000
Jiaxing,4726000
Huzhou,3027000
Shaoxing,5035000
Jinhua,5604000
Quzhou,2209000
Zhoushan,1173000
Taizhou,6139000
Liushui,2199000
Hefei,8087000
Wuhui,3748000
Bengbu,3392000
Huainan,3490000
Ma'anshan,2337000
Huaibei,2254000
Tongling,1629000
Anqing,4691000
Huangshan,1407000
Chuzhou,4114000
Fuyang,8207000
Suzhou,5681000
Chaohu,792000
Liu'an,4837000
Bozhou,5237000
Chizhou,1474000
Xuancheng,2648000
Fuzhou (Fujian),7660000
Xiamen,4010000
Putian,2900000
Saming,2570000
Quanzhou,8650000
Zhangzhou,5100000
Nanping,2680000
Longyan,2640000
Ningde,2900000
Nanchang,2437400
Jindezhen,1115800
Pingxiang,431500
Jiujiang,651900
Xinyu,456700
Yingtan,2.226000e+05
Ganzhou,1115800
Ji'an,393300
Yichun,442400
Fuzhou (Jiangxi),580100
Shangrao,664400
Jinan,7321200
Qingdao,9290500
Zibo,4708400
Zaozhuang,3.920300e+06
Dongying,2154600
Yantai,7.089400e+06
Weifang,9363000
Jining,8375900
Tai'an,5645100
Weihai,2825600
Rizhao,2916500
Laiwu,1376000
Linyi,10563400
Dezhou,5795800
Liaocheng,6.034300e+06
Binzhou,3912300
Heze,8376000
Zhengzhou,9800000
Kaifeng,4550000
Luoyang,6810000
Pingdingshan,4990000
Anyang,5130000
Hebi,1620000
Xinxiang,5760000
Jiaozuo,3550000
Puyang,3630000
Xuchang,4390000
Luohe,2640000
Sanmenxia,2260000
Nanyang,10060000
Shangqiu,7290000
Xinyang,6450000
Zhoukou,8790000
Zhumadian,6990000
Jiyuan,730000
Wuhan,10607700
Huangshi,2449200
Shiyan,3383000
Yichang,4115000
Xiangyang,5614000
Ezhou,59500
Jinmen,2896300
Xiaogan,4878000
