Sex	Height	Weight	GPA	LArm	RArm	LFoot	RFoot
0	67.0	125	2.40	25.5	25.5	27.2	27.0
1	68.0	140	2.81	23.0	23.0	23.0	23.0
1	67.0	142	2.80	26.0	27.0	22.0	22.0
1	60.0	110	3.60	24.0	24.0	24.0	24.5
1	64.0	97	2.50	24.0	24.0	21.0	21.0
1	61.0	106	3.85	21.5	21.5	22.0	22.0
0	79.0	210	3.33	30.5	30.5	28.0	28.0
1	61.0	110	1.94	23.5	22.5	21.5	21.0
0	71.0	150	3.46	26.0	26.0	29.0	28.0
1	66.0	145	2.56	24.0	25.0	24.0	25.0
1	59.5	113	3.33	21.0	23.0	20.0	22.0
0	71.0	175	2.80	27.0	27.0	27.5	26.0
0	72.0	145	2.85	25.5	25.0	28.0	28.0
1	55.0	110	*	24.0	23.0	22.0	23.5
1	64.0	112	3.59	23.0	23.5	23.0	23.5
1	65.0	135	3.33	22.0	23.0	21.0	20.0
1	65.0	135	3.25	23.0	23.0	26.0	27.0
1	71.0	140	3.63	27.0	27.0	25.0	25.0
1	68.0	130	3.70	25.0	25.0	24.0	25.0
0	71.0	152	2.80	25.4	27.9	27.9	27.9
1	67.0	127	3.13	25.5	25.5	24.5	24.5
0	70.0	143	3.53	26.5	27.0	26.3	26.3
1	68.0	165	2.13	24.5	24.5	24.5	25.5
0	72.0	160	2.50	25.0	26.0	28.5	29.0
0	71.0	185	3.00	28.0	27.0	29.0	27.0
1	65.0	114	2.50	25.4	25.0	24.7	24.5
1	67.0	116	3.33	23.0	24.5	22.5	23.0
1	66.0	113	3.30	25.5	26.0	25.3	25.5
1	63.0	145	2.40	21.0	22.0	24.0	25.0
1	62.0	116	3.30	25.0	25.0	27.0	25.0
0	70.5	155	2.53	25.5	28.0	26.0	25.5
1	64.0	107	3.24	24.5	24.0	23.5	24.5
1	64.0	104	3.40	24.5	24.1	22.5	22.8
1	69.0	137	2.60	23.5	23.5	24.0	24.5
0	75.0	200	3.10	31.0	28.0	28.0	29.0
0	65.0	150	2.89	25.0	25.0	23.5	23.0
1	67.0	140	3.10	25.5	25.0	25.0	25.5
1	65.0	125	*	23.5	23.0	24.0	23.5
0	75.0	240	2.70	27.0	27.5	31.0	32.0
1	57.0	140	3.16	22.0	24.0	25.5	24.3
0	68.0	135	3.00	23.5	25.5	25.0	25.0
0	73.0	178	2.30	26.0	25.0	29.0	29.5
1	68.0	122	1.89	24.5	24.6	24.3	24.5
1	62.0	145	2.00	23.4	23.5	23.8	24.0
0	68.0	190	2.90	25.0	25.0	25.0	25.5
0	73.5	180	3.33	26.2	26.5	26.2	26.5
1	63.0	125	2.00	27.5	27.5	22.5	22.5
0	72.5	165	2.50	24.8	24.5	28.0	27.5
1	66.0	115	2.00	27.0	27.5	22.5	23.5
1	68.0	125	3.91	25.5	25.0	25.5	25.0
0	72.0	210	2.80	26.5	26.5	28.5	28.5
1	63.0	118	3.63	23.0	23.0	24.0	23.0
1	65.0	135	3.00	22.5	23.0	22.9	23.2
0	75.0	225	1.24	24.5	24.5	30.0	30.0
1	69.0	145	3.31	25.5	26.5	25.5	25.5
1	72.0	240	3.78	28.0	28.0	26.2	25.7
1	69.0	170	3.10	27.0	26.5	28.0	28.5
1	62.0	105	2.80	23.0	22.0	24.0	23.0
1	64.0	125	3.40	24.0	23.5	23.5	23.5
1	62.5	130	3.10	22.5	22.0	23.5	24.5
0	78.0	190	3.00	30.0	29.5	31.5	32.0
1	63.0	115	2.80	22.0	22.5	21.0	22.0
0	73.0	280	2.10	26.5	26.5	26.0	26.0
1	69.0	125	3.72	24.5	24.5	24.5	24.5
1	62.5	120	2.17	24.0	24.0	23.0	23.5
1	63.0	145	2.65	22.5	21.0	22.8	22.5
1	63.0	132	3.48	22.5	22.0	24.5	23.0
0	69.5	195	3.10	27.0	27.0	27.0	27.0
0	69.0	168	2.50	25.0	25.0	23.0	23.0
1	70.0	*	1.50	29.0	29.0	29.0	29.0
1	60.5	105	2.17	20.5	21.0	23.0	22.5
1	65.0	112	3.31	21.5	22.0	22.0	23.5
0	72.0	215	2.84	26.5	26.5	27.5	27.2
1	69.0	150	2.98	29.0	29.0	28.5	28.7
1	70.0	150	2.56	26.7	25.4	26.7	25.4
1	67.0	125	3.23	23.0	25.0	25.0	23.0
1	64.0	135	3.67	23.5	24.0	22.0	22.6
0	70.0	185	2.30	25.0	26.0	25.5	26.0
1	71.0	127	2.80	25.5	28.0	25.5	28.0
0	72.0	178	2.70	25.5	28.0	29.5	29.7
1	66.0	123	2.49	25.5	25.5	24.0	25.5
0	65.5	145	3.55	26.0	25.0	27.0	27.0
1	71.0	135	3.00	25.5	28.0	25.5	28.0
0	68.0	135	2.40	27.0	27.0	27.0	27.0
0	66.5	145	3.61	27.0	27.0	27.0	27.0
1	67.0	145	3.20	26.1	27.7	24.9	25.4
0	69.0	193	2.95	28.0	28.0	27.2	27.8
1	66.0	125	3.23	24.0	24.5	24.0	24.5
0	71.0	148	2.50	28.0	28.5	28.0	27.0
1	65.0	125	2.80	25.0	25.0	22.0	23.0
1	62.0	120	3.55	26.0	26.0	23.0	23.0
1	65.0	119	2.90	24.0	26.0	23.0	23.0
1	68.0	160	3.35	26.5	26.5	23.5	22.5
1	67.0	140	3.74	23.3	24.0	24.5	23.5
1	62.5	115	2.50	24.0	24.0	24.0	24.0
1	64.0	125	3.76	23.4	23.4	23.4	23.5
1	61.0	95	3.15	22.2	22.2	22.0	22.2
1	62.0	126	3.33	24.6	23.9	23.5	23.8
