chap_no,chap_name
1,Introduction
2,Probability
3,Bayesian statistics
4,Probabilistic graphical models
5,Information theory
6,Optimization
7,Inference algorithms: an overview
8,Message passing inference
9,Variational inference
10,Monte Carlo inference
11,Markov Chain Monte Carlo inference
12,Sequential Monte Carlo inference
13,Predictive models: an overview
14,Generalized linear models
15,Deep neural networks
16,Bayesian neural networks
17,Gaussian processes
18,Beyond the iid assumption
19,Generative models: an overview
20,Variational autoencoders
21,Auto-regressive models
22,Normalizing Flows
23,Energy-based models
24,Denoising diffusion models
25,Generative adversarial networks
26,Discovery methods: an overview
27,Latent factor models
28,State-space models
29,Graph learning
30,Non-parametric Bayesian models
31,Representation learning {\bf (Unfinished)
32,Interpretability
33,Multi-step decision problems
34,Reinforcement learning
35,Causality
