key,url
1.3,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/01/iris_plot.ipynb']
1.4,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/01/iris_dtree.ipynb']
1.5,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/01/linreg_residuals_plot.ipynb']
1.6,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/01/linreg_2d_surface_demo.ipynb']
1.7,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/01/linreg_poly_vs_degree.ipynb']
1.8,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/01/iris_kmeans.ipynb']
1.9,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/01/iris_pca.ipynb']
1.12,"['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/01/mnist_viz_tf.ipynb', 'https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/01/emnist_viz_jax.ipynb']"
1.13,"['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/01/fashion_viz_tf.ipynb', 'https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/01/cifar_viz_tf.ipynb']"
2.1,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/discrete_prob_dist_plot.ipynb']
2.2,"['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/gauss_plot.ipynb', 'https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/quantile_plot.ipynb']"
2.4,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/bimodal_dist_plot.ipynb']
2.5,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/anscombes_quartet.ipynb']
2.6,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/datasaurus_dozen.ipynb']
2.9,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/binom_dist_plot.ipynb']
2.10,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/activation_fun_plot.ipynb']
2.11,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/iris_logreg.ipynb']
2.12,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/softmax_plot.ipynb']
2.13,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/iris_logreg.ipynb']
2.14,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/linreg_1d_hetero_tfp.ipynb']
2.15,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/student_laplace_pdf_plot.ipynb']
2.16,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/robust_pdf_plot.ipynb']
2.17,"['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/beta_dist_plot.ipynb', 'https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/gamma_dist_plot.ipynb']"
2.23,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/centralLimitDemo.ipynb']
2.24,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/02/change_of_vars_demo1d.ipynb']
3.3,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/03/simpsons_paradox.ipynb']
3.5,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/03/gauss_plot_2d.ipynb']
3.6,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/03/gauss_plot_2d.ipynb']
3.7,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/03/gauss_imputation_known_params_demo.ipynb']
3.8,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/03/gauss_infer_1d.ipynb']
3.9,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/03/gauss_infer_2d.ipynb']
3.10,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/03/sensor_fusion_2d.ipynb']
3.11,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/03/gmm_plot_demo.ipynb']
3.12,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/03/gmm_2d.ipynb']
3.13,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/03/mix_bernoulli_em_mnist.ipynb']
4.1,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/iris_cov_mat.ipynb']
4.2,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/hinge_loss_plot.ipynb']
4.3,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/ema_demo.ipynb']
4.4,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/shrinkcov_plots.ipynb']
4.5,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/linreg_poly_ridge.ipynb']
4.7,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/polyfitRidgeCV.ipynb']
4.8,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/imdb_mlp_bow_tf.ipynb']
4.9,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/linreg_poly_vs_n.ipynb']
4.10,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/beta_binom_post_plot.ipynb']
4.12,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/beta_binom_post_pred_plot.ipynb']
4.13,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/mixbetademo.ipynb']
4.14,"['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/dirichlet_3d_triangle_plot.ipynb', 'https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/dirichlet_3d_spiky_plot.ipynb']"
4.15,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/dirichlet_samples_plot.ipynb']
4.16,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/gauss_infer_1d.ipynb']
4.17,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/gauss_infer_2d.ipynb']
4.18,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/betaHPD.ipynb']
4.19,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/postDensityIntervals.ipynb']
4.20,"['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/logreg_iris_1d.ipynb', 'https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/logreg_iris_bayes_1d_pymc3.ipynb']"
4.22,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/laplace_approx_beta_binom_jax.ipynb']
4.23,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/bootstrapDemoBer.ipynb']
4.24,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/samplingDistributionGaussianShrinkage.ipynb']
4.25,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/04/biasVarModelComplexity3.ipynb']
5.2,"['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/05/roc_plot.ipynb', 'https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/05/pr_plot.ipynb']"
5.3,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/05/huberLossPlot.ipynb']
5.4,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/05/coins_model_sel_demo.ipynb']
5.5,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/05/linreg_eb_modelsel_vs_n.ipynb']
5.6,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/05/linreg_eb_modelsel_vs_n.ipynb']
5.8,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/05/riskFnGauss.ipynb']
5.10,"['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/05/neymanPearson2.ipynb', 'https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/05/twoPowerCurves.ipynb']"
6.1,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/06/bernoulli_entropy_fig.ipynb']
6.2,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/06/seq_logo_demo.ipynb']
6.3,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/06/KLfwdReverseMixGauss.ipynb']
6.6,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/06/MIC_correlation_2d.ipynb']
7.6,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/07/gaussEvec.ipynb']
7.7,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/07/height_weight_whiten_plot.ipynb']
7.9,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/07/svd_image_demo.ipynb']
7.10,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/07/svd_image_demo.ipynb']
8.1,"['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/extrema_fig_1d.ipynb', 'https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/saddle.ipynb']"
8.7,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/smooth-vs-nonsmooth-1d.ipynb']
8.11,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/steepestDescentDemo.ipynb']
8.12,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/lineSearchConditionNum.ipynb']
8.14,"['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/newtonsMethodMinQuad.ipynb', 'https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/newtonsMethodNonConvex.ipynb']"
8.16,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/lms_demo.ipynb']
8.17,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/lrschedule_tf.ipynb']
8.18,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/learning_rate_plot.ipynb']
8.23,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/emLogLikelihoodMax.ipynb']
8.25,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/mix_gauss_demo_faithful.ipynb']
8.26,"['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/mix_gauss_singularity.ipynb', 'https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/mix_gauss_mle_vs_map.ipynb']"
8.27,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/08/gmm_lik_surface_plot.ipynb']
9.1,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/09/discrim_analysis_dboundaries_plot2.ipynb']
9.2,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/09/discrim_analysis_dboundaries_plot2.ipynb']
9.4,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/09/fisher_lda_demo.ipynb']
9.5,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/09/fisher_discrim_vowel.ipynb']
9.6,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/09/naive_bayes_mnist_jax.ipynb']
9.7,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/09/naive_bayes_mnist_jax.ipynb']
9.8,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/09/generativeVsDiscrim.ipynb']
10.1,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/10/iris_logreg.ipynb']
10.2,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/10/sigmoid_2d_plot.ipynb']
10.4,['https://colab.research.google.com/github/probml/pyprobml/blob/master/notebooks/book1/10/logreg_poly_demo.ipynb']
