iter	Passed	Remaining
0	105	10400
1	153	7525
2	197	6372
3	237	5704
4	278	5283
5	315	4942
6	355	4724
7	399	4589
8	438	4430
9	479	4312
10	525	4249
11	568	4172
12	611	4094
13	655	4028
14	693	3932
15	731	3842
16	769	3758
17	807	3677
18	846	3607
19	883	3534
20	921	3467
21	960	3406
22	998	3342
23	1040	3293
24	1078	3236
25	1117	3179
26	1156	3126
27	1194	3070
28	1232	3016
29	1275	2976
30	1415	3150
31	1461	3105
32	1506	3058
33	1546	3001
34	1586	2946
35	1628	2895
36	1676	2854
37	1723	2812
38	1768	2766
39	1812	2719
40	1855	2669
41	1900	2624
42	1943	2576
43	1988	2531
44	2035	2488
45	2081	2443
46	2123	2394
47	2170	2351
48	2213	2304
49	2260	2260
50	2306	2216
51	2352	2171
52	2397	2126
53	2442	2080
54	2489	2036
55	2545	1999
56	2589	1953
57	2634	1907
58	2678	1861
59	2725	1816
60	2768	1770
61	2813	1724
62	2857	1678
63	2905	1634
64	2950	1588
65	2998	1544
66	3047	1500
67	3091	1454
68	3136	1409
69	3182	1364
70	3226	1317
71	3273	1273
72	3319	1227
73	3365	1182
74	3411	1137
75	3455	1091
76	3502	1046
77	3547	1000
78	3594	955
79	3638	909
80	3683	863
81	3727	818
82	3773	772
83	3817	727
84	3861	681
85	3907	636
86	3951	590
87	3999	545
88	4037	499
89	4075	452
90	4114	406
91	4153	361
92	4191	315
93	4231	270
94	4272	224
95	4309	179
96	4347	134
97	4385	89
98	4423	44
99	4461	0
