iter	Passed	Remaining
0	3	1848
1	7	1834
2	10	1820
3	14	1852
4	19	1954
5	24	1998
6	27	1968
7	31	1943
8	35	1919
9	39	1920
10	42	1906
11	46	1889
12	50	1874
13	53	1860
14	57	1855
15	61	1849
16	64	1841
17	68	1833
18	72	1826
19	75	1820
20	79	1812
21	83	1808
22	86	1800
23	90	1798
24	94	1794
25	98	1786
26	101	1778
27	105	1772
28	108	1765
29	112	1758
30	115	1752
31	119	1749
32	123	1743
33	127	1744
34	130	1739
35	134	1733
36	138	1728
37	143	1738
38	146	1733
39	150	1728
40	154	1730
41	159	1736
42	164	1743
43	167	1737
44	171	1731
45	174	1727
46	178	1722
47	182	1716
48	185	1710
49	189	1707
50	193	1707
51	197	1702
52	201	1697
53	204	1692
54	209	1691
55	214	1697
56	218	1699
57	223	1704
58	228	1704
59	232	1703
60	235	1698
61	239	1693
62	243	1686
63	247	1686
64	251	1681
65	254	1676
66	258	1672
67	262	1667
68	266	1662
69	269	1656
70	273	1651
71	276	1646
72	280	1641
73	284	1637
74	287	1631
75	291	1626
76	295	1621
77	298	1616
78	302	1611
79	305	1606
80	309	1602
81	313	1597
82	317	1592
83	320	1588
84	324	1583
85	328	1579
86	331	1574
87	335	1570
88	339	1565
89	342	1561
90	346	1556
91	349	1551
92	353	1547
93	357	1542
94	360	1538
95	364	1533
96	368	1529
97	371	1524
98	375	1520
99	378	1515
100	382	1510
101	386	1506
102	389	1502
103	393	1497
104	396	1493
105	400	1489
106	404	1485
107	408	1481
108	411	1477
109	415	1472
110	418	1468
111	422	1464
112	426	1461
113	430	1457
114	434	1454
115	438	1450
116	441	1445
117	445	1442
118	450	1441
119	453	1437
120	457	1433
121	461	1428
122	464	1424
123	468	1421
124	472	1418
125	476	1414
126	480	1410
127	483	1405
128	487	1401
129	491	1397
130	494	1393
131	498	1388
132	501	1384
133	506	1384
134	511	1382
135	515	1378
136	518	1374
137	522	1371
138	526	1367
139	530	1364
140	534	1361
141	538	1357
142	542	1353
143	545	1348
144	549	1344
145	552	1340
146	556	1336
147	560	1332
148	563	1328
149	567	1324
150	571	1320
151	574	1315
152	578	1311
153	583	1310
154	586	1306
155	590	1302
156	595	1299
157	598	1296
158	602	1292
159	606	1288
160	609	1284
161	613	1280
162	617	1276
163	621	1272
164	624	1268
165	628	1264
166	632	1260
167	635	1256
168	639	1252
169	643	1248
170	647	1245
171	651	1242
172	655	1238
173	658	1234
174	662	1230
175	667	1228
176	670	1223
177	674	1219
178	678	1216
179	682	1212
180	685	1208
181	689	1204
182	692	1200
183	696	1196
184	700	1192
185	703	1188
186	707	1184
187	711	1180
188	714	1176
189	718	1172
190	722	1168
191	726	1165
192	729	1161
193	733	1157
194	737	1153
195	740	1149
196	744	1145
197	748	1141
198	751	1137
199	755	1133
200	758	1129
201	762	1125
202	766	1121
203	769	1116
204	773	1112
205	777	1109
206	780	1105
207	784	1101
208	788	1097
209	791	1093
210	795	1089
211	799	1085
212	803	1082
213	806	1078
214	810	1073
215	813	1069
216	817	1065
217	820	1061
218	824	1058
219	828	1054
220	832	1050
221	836	1047
222	840	1043
223	843	1039
224	847	1035
225	850	1031
226	854	1027
227	858	1023
228	861	1020
229	865	1016
230	869	1012
231	873	1008
232	876	1004
233	880	1000
234	884	996
235	887	993
236	891	989
237	894	985
238	898	981
239	902	977
240	906	973
241	910	970
242	914	966
243	917	962
244	921	958
245	924	955
246	928	951
247	932	947
248	935	943
249	939	939
250	943	935
251	946	931
252	950	927
253	953	923
254	957	919
255	960	915
256	964	912
257	968	908
258	972	904
259	975	900
260	979	896
261	983	893
262	987	889
263	991	886
264	993	881
265	997	877
266	1001	873
267	1005	870
268	1009	866
269	1012	862
270	1016	859
271	1020	855
272	1024	851
273	1028	847
274	1031	844
275	1035	840
276	1038	836
277	1042	832
278	1046	828
279	1049	824
280	1053	821
281	1057	817
282	1060	813
283	1064	809
284	1068	805
285	1071	801
286	1075	798
287	1078	794
288	1083	790
289	1087	787
290	1090	783
291	1094	779
292	1098	775
293	1101	771
294	1105	768
295	1108	764
296	1112	760
297	1116	756
298	1121	754
299	1125	750
300	1129	746
301	1133	743
302	1138	739
303	1141	736
304	1145	732
305	1149	728
306	1152	724
307	1156	721
308	1160	717
309	1164	713
310	1168	710
311	1172	706
312	1175	702
313	1179	698
314	1182	694
315	1186	690
316	1190	686
317	1193	683
318	1197	679
319	1200	675
320	1204	671
321	1208	667
322	1211	664
323	1215	660
324	1219	656
325	1222	652
326	1226	648
327	1230	645
328	1233	641
329	1237	637
330	1243	634
331	1247	631
332	1250	627
333	1254	623
334	1258	620
335	1262	616
336	1265	612
337	1269	608
338	1273	604
339	1277	601
340	1281	597
341	1284	593
342	1288	589
343	1292	586
344	1296	582
345	1299	578
346	1303	574
347	1307	570
348	1310	567
349	1314	563
350	1318	559
351	1321	555
352	1325	551
353	1328	548
354	1332	544
355	1336	540
356	1339	536
357	1343	532
358	1347	529
359	1350	525
360	1354	521
361	1358	517
362	1361	514
363	1365	510
364	1369	506
365	1372	502
366	1376	498
367	1380	495
368	1384	491
369	1387	487
370	1390	483
371	1394	479
372	1398	476
373	1402	472
374	1406	468
375	1410	465
376	1413	461
377	1417	457
378	1420	453
379	1424	449
380	1428	446
381	1432	442
382	1435	438
383	1439	434
384	1443	431
385	1447	427
386	1451	423
387	1455	420
388	1461	417
389	1467	413
390	1474	411
391	1481	408
392	1487	405
393	1494	402
394	1500	398
395	1506	395
396	1512	392
397	1517	389
398	1522	385
399	1528	382
400	1535	379
401	1541	375
402	1547	372
403	1554	369
404	1561	366
405	1569	363
406	1575	360
407	1581	356
408	1588	353
409	1594	349
410	1600	346
411	1605	342
412	1609	339
413	1615	335
414	1622	332
415	1628	328
416	1634	325
417	1639	321
418	1646	318
419	1653	315
420	1660	311
421	1664	307
422	1668	303
423	1673	299
424	1678	296
425	1681	292
426	1685	288
427	1689	284
428	1693	280
429	1697	276
430	1701	272
431	1705	268
432	1708	264
433	1712	260
434	1715	256
435	1719	252
436	1722	248
437	1726	244
438	1729	240
439	1733	236
440	1736	232
441	1740	228
442	1744	224
443	1747	220
444	1751	216
445	1755	212
446	1758	208
447	1762	204
448	1766	200
449	1770	196
450	1773	192
451	1776	188
452	1780	184
453	1784	180
454	1787	176
455	1791	172
456	1794	168
457	1798	164
458	1801	160
459	1805	156
460	1808	153
461	1812	149
462	1816	145
463	1819	141
464	1823	137
465	1827	133
466	1831	129
467	1834	125
468	1838	121
